ticker,fecha,ret_1d,n_alcistas,sobre_sma200,golden_cross,momentum_pos,dias_rec,bucket
XLK,2022-06-10,-3.843598798212,0,False,False,False,40.0,Moderada(-3% a -5%)
XLK,2022-06-13,-4.432074337486835,0,False,False,False,11.0,Moderada(-3% a -5%)
XLK,2022-06-16,-4.070518266779965,0,False,False,False,7.0,Moderada(-3% a -5%)
XLK,2022-08-26,-4.270447877655615,0,False,False,False,209.0,Moderada(-3% a -5%)
XLK,2022-10-07,-4.11276851488922,0,False,False,False,17.0,Moderada(-3% a -5%)
XLK,2022-11-02,-3.4542655561418223,0,False,False,False,8.0,Moderada(-3% a -5%)
XLK,2022-12-15,-3.740439562824116,0,False,False,False,39.0,Moderada(-3% a -5%)
XLK,2024-07-17,-3.8896509414524827,2,True,True,False,89.0,Moderada(-3% a -5%)
XLK,2024-07-24,-4.1385481791275875,2,True,True,False,28.0,Moderada(-3% a -5%)
XLK,2024-08-01,-3.729436579661405,2,True,True,False,14.0,Moderada(-3% a -5%)
XLK,2024-08-05,-3.3313722074300722,1,False,True,False,4.0,Moderada(-3% a -5%)
XLK,2024-09-03,-4.593106741262309,3,True,True,True,10.0,Moderada(-3% a -5%)
XLK,2024-10-31,-3.2097855374861206,2,True,True,False,6.0,Moderada(-3% a -5%)
XLK,2024-12-18,-3.2252707841127326,3,True,True,True,6.0,Moderada(-3% a -5%)
XLK,2025-01-27,-4.901794701753193,2,True,True,False,18.0,Moderada(-3% a -5%)
XLK,2025-02-27,-3.640696613495853,1,False,True,False,75.0,Moderada(-3% a -5%)
XLK,2025-03-03,-3.0417251822677294,1,False,True,False,70.0,Moderada(-3% a -5%)
XLK,2025-03-10,-4.250939423925038,1,False,True,False,15.0,Moderada(-3% a -5%)
XLK,2025-04-10,-4.655158604338427,0,False,False,False,14.0,Moderada(-3% a -5%)
XLK,2025-04-16,-3.474538749446554,0,False,False,False,8.0,Moderada(-3% a -5%)
XLK,2025-10-10,-4.06959510311048,3,True,True,True,14.0,Moderada(-3% a -5%)
XLK,2025-11-20,-3.13912832656571,2,True,True,False,6.0,Moderada(-3% a -5%)
XLK,2026-03-26,-3.114941999082199,1,False,True,False,11.0,Moderada(-3% a -5%)
XLV,2018-02-05,-4.430880405801297,2,True,True,False,154.0,Moderada(-3% a -5%)
XLV,2018-02-08,-3.47009156532343,2,True,True,False,6.0,Moderada(-3% a -5%)
XLV,2018-10-24,-3.3012281165551327,2,True,True,False,13.0,Moderada(-3% a -5%)
XLV,2018-12-14,-3.367330217933795,2,True,True,False,63.0,Moderada(-3% a -5%)
XLV,2020-02-24,-3.1519128358939996,2,True,True,False,95.0,Moderada(-3% a -5%)
XLV,2020-02-25,-3.0348490387352434,2,True,True,False,52.0,Moderada(-3% a -5%)
XLV,2020-02-27,-3.397885937557854,1,False,True,False,6.0,Moderada(-3% a -5%)
XLV,2020-03-11,-3.8210989114209726,1,False,True,False,29.0,Moderada(-3% a -5%)
XLV,2020-03-18,-3.3161120325719273,1,False,True,False,8.0,Moderada(-3% a -5%)
XLV,2020-03-20,-3.8419680945942614,1,False,True,False,6.0,Moderada(-3% a -5%)
XLV,2020-04-01,-3.804499924937077,1,False,True,False,5.0,Moderada(-3% a -5%)
XLV,2020-04-21,-3.040625102665351,2,True,False,True,3.0,Moderada(-3% a -5%)
XLV,2020-10-28,-3.173112392184807,2,True,True,False,7.0,Moderada(-3% a -5%)
XLV,2021-01-27,-3.035980038791186,3,True,True,True,61.0,Moderada(-3% a -5%)
XLV,2022-04-22,-3.64739446474982,2,True,True,False,222.0,Moderada(-3% a -5%)
XLV,2022-06-13,-3.0281374697374575,1,False,True,False,10.0,Moderada(-3% a -5%)
XLV,2022-09-13,-3.303637750133248,0,False,False,False,43.0,Moderada(-3% a -5%)
XLV,2025-05-13,-3.0082528848314305,0,False,False,False,30.0,Moderada(-3% a -5%)
XLC,2019-05-13,-3.0950766665790996,2,True,True,False,3.0,Moderada(-3% a -5%)
XLC,2019-06-03,-3.142892762112759,1,False,True,False,4.0,Moderada(-3% a -5%)
XLC,2019-08-05,-3.236740562998941,2,True,True,False,3.0,Moderada(-3% a -5%)
XLC,2019-08-14,-3.5534917430784407,2,True,True,False,21.0,Moderada(-3% a -5%)
XLC,2020-02-24,-3.349948265271918,2,True,True,False,105.0,Moderada(-3% a -5%)
XLC,2020-02-27,-3.947638346939031,1,False,True,False,83.0,Moderada(-3% a -5%)
XLC,2020-03-03,-3.2939730612698503,1,False,True,False,1.0,Moderada(-3% a -5%)
XLC,2020-03-05,-3.648802666316553,1,False,True,False,76.0,Moderada(-3% a -5%)
XLC,2020-03-11,-4.29709643963897,1,False,True,False,47.0,Moderada(-3% a -5%)
XLC,2020-03-18,-3.3208875902686175,1,False,True,False,6.0,Moderada(-3% a -5%)
XLC,2020-03-20,-4.420139053820849,1,False,True,False,4.0,Moderada(-3% a -5%)
XLC,2020-03-27,-3.996411946127998,1,False,True,False,10.0,Moderada(-3% a -5%)
XLC,2020-04-01,-3.9783026597108195,0,False,False,False,5.0,Moderada(-3% a -5%)
XLC,2020-04-21,-3.1477879988385915,1,False,False,True,2.0,Moderada(-3% a -5%)
XLC,2020-06-11,-4.6052729006676,2,True,False,True,25.0,Moderada(-3% a -5%)
XLC,2020-06-26,-4.408816280013584,2,True,True,False,5.0,Moderada(-3% a -5%)
XLC,2020-09-03,-3.392664793150302,3,True,True,True,82.0,Moderada(-3% a -5%)
XLC,2020-10-28,-3.925426271907606,2,True,True,False,7.0,Moderada(-3% a -5%)
XLC,2021-01-27,-3.234525216976891,3,True,True,True,8.0,Moderada(-3% a -5%)
XLC,2021-11-30,-3.1731861277173423,1,False,True,False,23.0,Moderada(-3% a -5%)
XLC,2022-01-21,-3.3845846016423375,0,False,False,False,12.0,Moderada(-3% a -5%)
XLC,2022-03-07,-3.3238195353253452,0,False,False,False,9.0,Moderada(-3% a -5%)
XLC,2022-04-20,-4.335582328844179,0,False,False,False,449.0,Moderada(-3% a -5%)
XLC,2022-04-26,-3.2818653225328287,0,False,False,False,8.0,Moderada(-3% a -5%)
XLC,2022-04-29,-3.38622028950476,0,False,False,False,5.0,Moderada(-3% a -5%)
XLC,2022-05-05,-3.6860519026474248,0,False,False,False,392.0,Moderada(-3% a -5%)
XLC,2022-05-18,-3.2715748062309813,0,False,False,False,9.0,Moderada(-3% a -5%)
XLC,2022-05-24,-3.5489797859205363,0,False,False,False,2.0,Moderada(-3% a -5%)
XLC,2022-06-09,-3.07360775135449,1,False,False,True,323.0,Moderada(-3% a -5%)
XLC,2022-06-13,-4.725779805573183,0,False,False,False,11.0,Moderada(-3% a -5%)
XLC,2022-06-16,-3.6485802907965437,0,False,False,False,8.0,Moderada(-3% a -5%)
XLC,2022-07-11,-3.032959978624228,0,False,False,False,8.0,Moderada(-3% a -5%)
XLC,2022-07-22,-3.4655273172206513,1,False,False,True,19.0,Moderada(-3% a -5%)
XLC,2022-08-26,-3.1940980059989132,0,False,False,False,160.0,Moderada(-3% a -5%)
XLC,2022-10-26,-3.163591346717576,1,False,False,True,37.0,Moderada(-3% a -5%)
XLC,2022-10-27,-4.741037344047882,0,False,False,False,19.0,Moderada(-3% a -5%)
XLC,2022-12-15,-3.8992159209921384,0,False,False,False,22.0,Moderada(-3% a -5%)
XLC,2023-02-08,-3.141531671060205,2,True,False,True,57.0,Moderada(-3% a -5%)
XLC,2023-10-25,-4.330482786535306,2,True,True,False,13.0,Moderada(-3% a -5%)
XLC,2024-04-25,-3.562577022281166,2,True,True,False,11.0,Moderada(-3% a -5%)
XLC,2025-04-03,-4.460500333364181,1,False,True,False,29.0,Moderada(-3% a -5%)
XLC,2025-04-10,-3.4563625280339183,1,False,True,False,14.0,Moderada(-3% a -5%)
AAPL,2015-10-26,-3.1911576784703244,1,False,False,True,2.0,Moderada(-3% a -5%)
AAPL,2015-11-10,-3.151699582510592,1,False,False,True,426.0,Moderada(-3% a -5%)
AAPL,2016-01-07,-4.220460358615896,0,False,False,False,15.0,Moderada(-3% a -5%)
AAPL,2016-04-28,-3.0566283865700483,0,False,False,False,26.0,Moderada(-3% a -5%)
AAPL,2017-05-17,-3.357547067346911,3,True,True,True,77.0,Moderada(-3% a -5%)
AAPL,2017-06-09,-3.877669466833844,2,True,True,False,54.0,Moderada(-3% a -5%)
AAPL,2017-08-10,-3.185172503805034,3,True,True,True,5.0,Moderada(-3% a -5%)
AAPL,2018-02-02,-4.339007581280285,2,True,True,False,12.0,Moderada(-3% a -5%)
AAPL,2018-04-20,-4.0972400862111735,2,True,True,False,12.0,Moderada(-3% a -5%)
AAPL,2018-10-10,-4.632593459979317,2,True,True,False,336.0,Moderada(-3% a -5%)
AAPL,2018-10-24,-3.4301662704397273,2,True,True,False,322.0,Moderada(-3% a -5%)
AAPL,2018-11-19,-3.963213377992658,1,False,True,False,122.0,Moderada(-3% a -5%)
AAPL,2018-11-20,-4.777795982090883,1,False,True,False,115.0,Moderada(-3% a -5%)
AAPL,2018-12-04,-4.398868561629898,1,False,True,False,101.0,Moderada(-3% a -5%)
AAPL,2018-12-07,-3.5657023263278353,1,False,True,False,80.0,Moderada(-3% a -5%)
AAPL,2018-12-14,-3.1997776684720924,1,False,True,False,52.0,Moderada(-3% a -5%)
AAPL,2018-12-19,-3.1191546406943216,1,False,True,False,43.0,Moderada(-3% a -5%)
AAPL,2018-12-21,-3.8895561570765236,0,False,False,False,5.0,Moderada(-3% a -5%)
AAPL,2019-05-20,-3.1269586419205186,1,False,True,False,18.0,Moderada(-3% a -5%)
AAPL,2019-08-23,-4.622054534602293,2,True,True,False,13.0,Moderada(-3% a -5%)
AAPL,2020-01-31,-4.433845430617245,3,True,True,True,6.0,Moderada(-3% a -5%)
AAPL,2020-02-24,-4.750047701783588,2,True,True,False,77.0,Moderada(-3% a -5%)
AAPL,2020-02-25,-3.3872317585649014,2,True,True,False,6.0,Moderada(-3% a -5%)
AAPL,2020-03-03,-3.175948097881265,2,True,True,False,1.0,Moderada(-3% a -5%)
AAPL,2020-03-05,-3.243707374515481,2,True,True,False,63.0,Moderada(-3% a -5%)
AAPL,2020-03-11,-3.4730754606158154,2,True,True,False,34.0,Moderada(-3% a -5%)
AAPL,2020-03-27,-4.140204890061716,1,False,True,False,10.0,Moderada(-3% a -5%)
AAPL,2020-04-21,-3.0910449398105055,3,True,True,True,3.0,Moderada(-3% a -5%)
AAPL,2020-06-11,-4.801055302247049,3,True,True,True,11.0,Moderada(-3% a -5%)
AAPL,2020-06-26,-3.072567227337597,3,True,True,True,10.0,Moderada(-3% a -5%)
AAPL,2020-07-23,-4.551628750805836,3,True,True,True,8.0,Moderada(-3% a -5%)
AAPL,2020-09-10,-3.2645728557979314,3,True,True,True,32.0,Moderada(-3% a -5%)
AAPL,2020-09-18,-3.1720043329777625,2,True,True,False,4.0,Moderada(-3% a -5%)
AAPL,2020-09-23,-4.194632489534533,2,True,True,False,2.0,Moderada(-3% a -5%)
AAPL,2020-10-02,-3.2280345826356527,2,True,True,False,7.0,Moderada(-3% a -5%)
AAPL,2020-10-28,-4.631214760934599,2,True,True,False,8.0,Moderada(-3% a -5%)
AAPL,2021-01-06,-3.366127313780254,3,True,True,True,2.0,Moderada(-3% a -5%)
AAPL,2021-01-28,-3.498467567425656,3,True,True,True,159.0,Moderada(-3% a -5%)
AAPL,2021-01-29,-3.7420839738265266,2,True,True,False,6.0,Moderada(-3% a -5%)
AAPL,2021-02-25,-3.478262555623335,2,True,True,False,4.0,Moderada(-3% a -5%)
AAPL,2021-03-08,-4.16733444663715,2,True,True,False,3.0,Moderada(-3% a -5%)
AAPL,2021-03-18,-3.3905052730712315,2,True,True,False,18.0,Moderada(-3% a -5%)
AAPL,2021-05-04,-3.5385489411623228,3,True,True,True,49.0,Moderada(-3% a -5%)
AAPL,2021-09-10,-3.310183834849434,3,True,True,True,69.0,Moderada(-3% a -5%)
AAPL,2021-11-26,-3.167836819697356,3,True,True,True,4.0,Moderada(-3% a -5%)
