ticker,fecha,tipo_activo,es_etf,ret_1d,zscore,vol_ratio,rsi_14,dias_consec,n_alcistas,spy_ret,idio_ret,es_sistematico,dist_low_52w,drop_norm_atr,mag_ord,ret_10d,target
GOOGL,2020-02-24,ACCION,0,-4.287,-3.524,1.333753158782829,38.83875157203775,2,2,-3.316516411357462,-0.9707328039220258,1,36.69061400381629,-2.8439693155763197,2,-14.373,0
AAPL,2020-02-24,ACCION,0,-4.75,-3.133,1.6397141138747753,37.70585353962319,2,2,-3.316516411357462,-1.4335312904261261,1,75.12054546055252,-2.463153570799869,2,-10.735,0
META,2020-02-24,ACCION,0,-4.501,-2.733,1.2616247447926774,36.98192249124384,3,2,-3.316516411357462,-1.1843828925983573,1,25.0825874269893,-0.9531553958965797,2,-15.554,0
XLC,2020-02-24,ETF,1,-3.35,-3.948,1.4308712939752788,38.2171422682807,2,2,-3.316516411357462,-0.033431853914456244,1,19.74464403465433,-4.47411017570564,2,-14.27,0
XLE,2020-02-24,ETF,1,-4.618,-3.511,1.7808993791176981,29.737700819190323,2,0,-3.316516411357462,-1.301119192978451,1,0.0,-10.980883643808374,2,-34.276,0
XLV,2020-02-24,ETF,1,-3.152,-4.001,1.870455091044627,37.10609928158331,0,2,-3.316516411357462,0.16460357546346227,1,19.018155088079432,-2.703389240318225,2,-8.056,0
XLF,2020-02-24,ETF,1,-3.25,-3.633,1.7094537191477261,35.158731610228116,2,2,-3.316516411357462,0.06659002622192434,1,19.807119548941614,-8.974761422274002,2,-23.379,0
AMZN,2020-02-24,ACCION,0,-4.136,-2.721,1.396535431727186,47.39875491042339,2,3,-3.316516411357462,-0.819038612106537,1,23.969026767368902,-1.7038275961508016,2,-10.386,0
XOM,2020-02-25,ACCION,0,-3.833,-2.419,1.7088748677205226,20.64276997779784,3,0,-3.0302306573957494,-0.8022898280595214,1,0.0,-3.7242314342480953,2,-19.908,0
XLF,2020-02-25,ETF,1,-3.393,-3.351,2.5247631995233455,26.76893072115091,3,2,-3.0302306573957494,-0.362461253684887,1,15.742433095105968,-8.423245388466109,2,-16.029,0
GS,2020-02-25,ACCION,0,-3.086,-2.263,1.8253279584585953,28.31839591236529,3,2,-3.0302306573957494,-0.056066591444303704,1,20.66981911362603,-0.742185298925376,2,-14.766,0
JPM,2020-02-25,ACCION,0,-4.464,-3.569,2.1757226751810252,27.547707044285346,2,2,-3.0302306573957494,-1.4340296142487774,1,31.388263191767063,-2.2210404587106414,2,-20.244,0
BAC,2020-02-25,ACCION,0,-5.041,-3.466,2.0761638025569287,26.66890977215023,2,2,-3.0302306573957494,-2.0110301942928843,1,19.83106168694561,-7.783702800255651,3,-23.55,0
IWM,2020-02-25,ETF,1,-3.554,-3.812,2.4215809756960294,29.027693008098908,2,2,-3.0302306573957494,-0.5237578149646094,1,8.68826091717822,-1.5006321862604255,2,-13.998,0
SLV,2020-02-25,ETF,1,-3.966,-3.322,2.6452664357305604,49.08824154571252,0,2,-3.0302306573957494,-0.9352897402184812,1,24.145609488223364,-15.29400552612628,2,-5.865,0
SPY,2020-02-25,ETF,1,-3.03,-3.502,2.818917491500137,28.67288158791183,3,2,-3.0302306573957494,0.0,1,16.07166672860677,-0.7812829022605204,2,-7.75,0
XLK,2020-02-25,ETF,1,-3.199,-2.697,2.6456553624269215,33.66575340830221,3,2,-3.0302306573957494,-0.16917801537548183,1,33.933108178463485,-3.327663025640246,2,-5.028,0
AAPL,2020-02-25,ACCION,0,-3.387,-2.159,1.6601770568795549,32.587961006549676,3,2,-3.0302306573957494,-0.35700110116915207,1,69.1888067289406,-1.6749013137971758,2,-0.951,0
XLE,2020-02-25,ETF,1,-4.415,-3.039,2.184600148097075,23.611946252551917,3,0,-3.0302306573957494,-1.38493275341941,1,0.0,-9.503606425615308,2,-27.978,0
XLV,2020-02-25,ETF,1,-3.035,-3.395,2.222851189651746,28.406038056631317,1,2,-3.0302306573957494,-0.004618381339493993,1,15.406133752468437,-2.3682565738774266,2,-1.925,0
DIA,2020-02-25,ETF,1,-3.169,-3.416,2.873911441148903,26.236882224925438,3,2,-3.0302306573957494,-0.13908379894548295,1,10.923686554541325,-0.8985127826535435,2,-7.473,0
GOOGL,2020-02-27,ACCION,0,-5.431,-3.687,1.5166973057865325,26.02513224520108,0,2,-4.491206664766423,-0.940074093633358,1,26.590851175152963,-3.3020047333266347,3,-15.468,0
META,2020-02-27,ACCION,0,-3.778,-2.133,1.1877173637370046,29.177849879566267,0,1,-4.491206664766423,0.7133236318318086,1,18.246413697517692,-0.7078113709991908,2,-18.593,0
XOM,2020-02-27,ACCION,0,-6.018,-3.407,2.047451621011373,15.021212628091973,5,0,-4.491206664766423,-1.5265139552234626,1,0.0,-5.564115466978951,3,-25.371,0
XLF,2020-02-27,ETF,1,-4.273,-3.639,2.736714741890881,19.289851707854638,5,1,-4.491206664766423,0.2180222352158978,1,9.987529095181916,-9.201498379439391,2,-25.467,0
XLE,2020-02-27,ETF,1,-5.348,-3.194,2.5843086374378026,16.707936347102446,5,0,-4.491206664766423,-0.8565936664385205,1,0.0,-10.617402163127709,3,-34.959,0
JPM,2020-02-27,ACCION,0,-4.161,-3.006,2.1240675956779094,22.671647882648102,0,2,-4.491206664766423,0.3297928497819518,1,26.299610096295538,-1.8283156267082747,2,-27.453,0
NVDA,2020-02-27,ACCION,0,-5.567,-2.315,1.5935129836316195,44.30343480299617,0,3,-4.491206664766423,-1.0753583545801133,1,89.2569497488866,-15.19265601114469,3,-14.367,0
AAPL,2020-02-27,ACCION,0,-6.537,-3.547,2.196605201163317,28.73420654309831,0,2,-4.491206664766423,-2.0455926443336487,1,60.63779119213512,-2.7568637072562066,3,-9.246,0
AMZN,2020-02-27,ACCION,0,-4.814,-2.838,1.5523646684546308,34.792212279026,0,3,-4.491206664766423,-0.32241988196083327,1,16.257397918956514,-1.7263528579681344,2,-11.022,0
XLC,2020-02-27,ETF,1,-3.948,-3.668,2.043906364647684,23.73893762407893,5,1,-4.491206664766423,0.5435683178273925,1,11.730712272612434,-4.1290291348450765,2,-16.262,0
BAC,2020-02-27,ACCION,0,-4.897,-3.004,2.405690018271785,20.104943618409635,4,1,-4.491206664766423,-0.40598055589858806,1,12.312677996116332,-6.816672727293995,2,-29.142,0
IWM,2020-02-27,ETF,1,-3.521,-3.314,2.34802571614243,21.411890572995446,4,1,-4.491206664766423,0.9701663790451125,1,3.64703612528439,-1.2645212814300835,2,-24.883,0
GS,2020-02-27,ACCION,0,-4.676,-3.072,1.8948074396512482,21.556105873072596,5,1,-4.491206664766423,-0.18484407400959313,1,14.059907527171578,-1.0075187040616929,2,-26.296,0
