ticker,fecha,tipo_activo,ret_1d,zscore,vol_ratio,rsi_14,dias_consec,n_alcistas,magnitud,dias_rec,recup_5d,ret_5d,recup_10d,ret_10d,recup_20d,ret_20d,recup_60d,ret_60d,bucket_vol,bucket_rsi,bucket_streak,tipo_x_mag
NVDA,2020-03-12,ACCION,-12.237,-3.379,1.098,36.1,1,2,Extrema (>-10%),12.0,0.0,-1.54,1.0,18.92,1.0,21.56,1.0,62.9,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Extrema (>-10%)
NVDA,2020-03-16,ACCION,-18.452,-3.993,0.992,35.4,0,1,Extrema (>-10%),8.0,0.0,8.29,1.0,35.23,1.0,44.58,1.0,90.86,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Extrema (>-10%)
NVDA,2020-09-03,ACCION,-9.278,-3.652,1.753,59.9,0,3,Fuerte (-5% a -10%),64.0,0.0,-6.54,0.0,-6.35,0.0,0.36,0.0,2.97,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2020-09-08,ACCION,-5.621,-2.258,1.297,46.9,2,3,Fuerte (-5% a -10%),1.0,1.0,9.05,1.0,6.08,1.0,15.31,1.0,13.7,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2020-11-09,ACCION,-6.395,-2.04,1.83,52.3,0,2,Fuerte (-5% a -10%),93.0,0.0,-0.85,0.0,-3.6,0.0,-2.03,0.0,-0.26,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2021-01-06,ACCION,-5.895,-2.346,2.158,39.2,0,2,Fuerte (-5% a -10%),5.0,1.0,7.27,1.0,9.93,1.0,8.32,1.0,10.92,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2021-02-25,ACCION,-8.218,-3.371,2.469,41.6,0,3,Fuerte (-5% a -10%),46.0,0.0,-7.04,0.0,-2.33,0.0,-5.77,1.0,12.7,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2021-03-08,ACCION,-6.967,-2.469,1.312,30.6,0,1,Fuerte (-5% a -10%),1.0,1.0,13.82,1.0,13.78,1.0,19.61,1.0,44.77,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2021-07-15,ACCION,-4.411,-2.2,1.199,49.1,2,3,Moderada (-3% a -5%),20.0,0.0,3.31,0.0,3.67,1.0,4.95,1.0,9.85,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
NVDA,2021-07-16,ACCION,-4.246,-2.011,1.519,41.4,3,2,Moderada (-3% a -5%),5.0,1.0,7.69,1.0,7.37,1.0,11.16,1.0,13.97,Alto (1.5-2.5x),Neutral (30-70),3-4 días bajando,ACCION | Moderada (-3% a -5%)
NVDA,2021-09-28,ACCION,-4.437,-2.043,1.424,40.9,2,2,Moderada (-3% a -5%),16.0,0.0,-1.2,0.0,-0.14,1.0,19.41,1.0,42.05,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
NVDA,2021-10-04,ACCION,-4.869,-2.16,1.406,34.4,0,2,Moderada (-3% a -5%),3.0,0.0,4.88,1.0,12.62,1.0,30.89,1.0,52.06,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Moderada (-3% a -5%)
