ticker,ret,dias,bucket,recuperado
QQQ,-2.3610929726932017,14.0,Leve (-1% a -3%),True
QQQ,-1.7412274341281342,5.0,Leve (-1% a -3%),True
QQQ,-1.1324871246822688,98.0,Leve (-1% a -3%),True
QQQ,-1.6035683375665855,78.0,Leve (-1% a -3%),True
QQQ,-1.2817375566039457,73.0,Leve (-1% a -3%),True
QQQ,-2.7694190662806872,64.0,Leve (-1% a -3%),True
QQQ,-1.2402808750201277,15.0,Leve (-1% a -3%),True
QQQ,-1.1896494847666528,4.0,Leve (-1% a -3%),True
QQQ,-1.1233577897390656,2.0,Leve (-1% a -3%),True
QQQ,-1.4222986851135655,27.0,Leve (-1% a -3%),True
QQQ,-1.495096313900146,16.0,Leve (-1% a -3%),True
QQQ,-2.84680081303319,4.0,Leve (-1% a -3%),True
QQQ,-1.0628096153374123,22.0,Leve (-1% a -3%),True
QQQ,-1.9635791497831012,5.0,Leve (-1% a -3%),True
QQQ,-1.6950809325744887,1.0,Leve (-1% a -3%),True
QQQ,-1.5179380328382175,20.0,Leve (-1% a -3%),True
QQQ,-2.3015818703216007,5.0,Leve (-1% a -3%),True
QQQ,-1.4564126404665312,12.0,Leve (-1% a -3%),True
QQQ,-1.9182264925920456,5.0,Leve (-1% a -3%),True
QQQ,-1.244812947052365,202.0,Leve (-1% a -3%),True
QQQ,-2.10978519024706,190.0,Leve (-1% a -3%),True
QQQ,-1.4840723038361148,4.0,Leve (-1% a -3%),True
QQQ,-2.491524696322689,2.0,Leve (-1% a -3%),True
QQQ,-2.1645222898220795,28.0,Leve (-1% a -3%),True
QQQ,-1.5287395143682048,8.0,Leve (-1% a -3%),True
QQQ,-1.1414745419029537,4.0,Leve (-1% a -3%),True
QQQ,-1.6460088192704725,2.0,Leve (-1% a -3%),True
QQQ,-1.436700769250454,6.0,Leve (-1% a -3%),True
QQQ,-1.509265059199516,80.0,Leve (-1% a -3%),True
QQQ,-1.2084227189104069,26.0,Leve (-1% a -3%),True
QQQ,-1.2544307735284477,7.0,Leve (-1% a -3%),True
QQQ,-1.1343854859537261,28.0,Leve (-1% a -3%),True
QQQ,-1.1721489561751453,6.0,Leve (-1% a -3%),True
QQQ,-1.9848266905401868,1.0,Leve (-1% a -3%),True
QQQ,-2.5164252891524574,6.0,Leve (-1% a -3%),True
QQQ,-1.4259303486054753,13.0,Leve (-1% a -3%),True
QQQ,-1.614948525601756,7.0,Leve (-1% a -3%),True
QQQ,-1.0103722537025073,1.0,Leve (-1% a -3%),True
QQQ,-1.2106879005663096,9.0,Leve (-1% a -3%),True
QQQ,-1.7276869697590014,6.0,Leve (-1% a -3%),True
QQQ,-1.0274894426000936,5.0,Leve (-1% a -3%),True
QQQ,-1.5173254975746397,8.0,Leve (-1% a -3%),True
QQQ,-2.5426068774324073,7.0,Leve (-1% a -3%),True
QQQ,-2.500531843058651,40.0,Leve (-1% a -3%),True
QQQ,-1.8139121610307507,15.0,Leve (-1% a -3%),True
QQQ,-1.7354794951727093,13.0,Leve (-1% a -3%),True
QQQ,-1.0534645752347638,4.0,Leve (-1% a -3%),True
QQQ,-2.1440986692830344,6.0,Leve (-1% a -3%),True
QQQ,-2.0446356384752007,13.0,Leve (-1% a -3%),True
QQQ,-1.0532024867293321,2.0,Leve (-1% a -3%),True
QQQ,-1.7434050536761614,16.0,Leve (-1% a -3%),True
QQQ,-1.152178925331937,4.0,Leve (-1% a -3%),True
QQQ,-1.9945439621086969,21.0,Leve (-1% a -3%),True
QQQ,-1.2937892304739629,7.0,Leve (-1% a -3%),True
QQQ,-1.2382692346572521,10.0,Leve (-1% a -3%),True
QQQ,-1.6326868959597118,4.0,Leve (-1% a -3%),True
QQQ,-1.3614447157342169,83.0,Leve (-1% a -3%),True
